[33;1manalyzer_4       |[0m 2023-01-03 11:48:16.628  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 7bfdd0aa-1ee0-4139-9ffd-d051d9ee699a: (33126454632[661,570])(33126453161[1756,963])(33126453126[2868,854])
[33;1manalyzer_4       |[0m 2023-01-03 11:48:38.159  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 0697e4f6-1e2a-4e32-a425-97b702f008cd: (33126531145[1606,910])
[33;1manalyzer_4       |[0m 2023-01-03 11:48:47.523  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 7fd6ddb6-cbe3-4da4-8e54-dbd688468a5a: (33126454632[20,604])(33126453126[608,1168])(33126454312[2918,1469])
[33;1manalyzer_4       |[0m 2023-01-03 11:49:06.552  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 13c91ddc-d400-44cb-9f2d-c323657adb91: (33126453626[1765,826])
[33;1manalyzer_4       |[0m 2023-01-03 11:49:14.688  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job dcf556dc-c747-48c8-8bb9-14ea929e27d5: (33126454632[661,570])(33126453161[1756,963])
[33;1manalyzer_4       |[0m 2023-01-03 11:49:23.147  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job a43538f4-477d-494e-a201-964a8aa6119f: (33126453261[2476,1537])
[33;1manalyzer_4       |[0m 2023-01-03 11:49:55.530  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 21a39bea-b34f-4723-8cc7-719498376ba0: (33126453626[1765,826])
[33;1manalyzer_4       |[0m 2023-01-03 11:50:13.668  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 5263a4ba-8044-45b0-9ebb-127620646871: (33126453261[2477,1537])(33126453262[3671,1209])
[33;1manalyzer_4       |[0m 2023-01-03 11:50:18.012  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 561a592b-a210-43a6-b72d-2f46e3280856: (33126454632[661,570])(33126453161[1756,963])(33126454123[2699,177])
[33;1manalyzer_4       |[0m 2023-01-03 11:50:42.559  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 50e0dfe7-5759-4db0-9178-8b1896ae1f9b: (33126453626[1765,829])
